NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
SHOCKOE BOTTOM,0,2,5,44,3,15,115,19,355
SHOCKOE SLIP,0,2,2,40,2,7,46,10,219
SOUTH GARDEN,0,1,10,42,17,12,42,11,199
SOUTHAMPTON,0,0,0,0,0,1,7,0,20
SOUTHERN BARTON HEIGHTS,0,3,6,24,9,12,33,10,88
SOUTHWOOD,1,4,28,72,10,9,44,18,206
STADIUM,0,0,0,0,1,0,2,2,8
STONEWALL COURT,0,0,0,0,3,0,9,2,10
STONY POINT,0,1,0,8,0,2,42,1,48
STRATFORD HILLS,0,2,0,9,10,1,33,0,82
SWANSBORO,2,2,6,71,16,32,94,19,247
SWANSBORO WEST,5,4,7,84,34,21,60,8,298
SWANSON,0,3,8,27,6,11,48,8,148
THE DIAMOND,0,1,2,20,11,10,44,6,121
THE FAN,0,11,18,114,70,19,447,78,865
THE MUSEUM DISTRICT,0,1,3,59,19,6,137,26,321
THREE CHOPT,0,2,1,7,4,0,43,1,73
UNION HILL,1,1,4,30,2,22,60,15,181
UPPER SHOCKOE VALLEY,0,0,5,21,2,13,23,6,221
VCU,0,1,0,24,8,5,44,3,151
VIRGINIA UNION,1,0,4,58,14,42,71,14,172
WALMSLEY,1,1,2,42,19,8,37,6,99
WARWICK,0,1,0,13,7,0,14,4,37
WASHINGTON PARK,0,2,5,38,13,14,26,7,98
WESTHAMPTON,0,0,2,3,4,0,26,8,41
WESTLAKE HILLS,0,0,1,7,2,1,10,3,30
WESTOVER,0,1,3,34,20,5,44,15,141
WESTOVER HILLS,1,0,1,1,7,2,20,4,35
WESTOVER HILLS WEST,0,0,0,0,1,0,9,2,19
WHITCOMB,4,5,9,104,28,62,48,22,361
WILLOW LAWN,0,0,1,1,1,0,21,3,18
WILLOW OAKS,0,1,0,2,0,0,4,1,14
WILTON,0,0,0,0,0,0,6,1,9
WINDSOR,0,2,3,18,18,6,11,11,50
WINDSOR FARMS,0,0,0,0,1,0,11,3,15
WOODHAVEN,1,1,2,22,9,9,20,5,74
WOODLAND HEIGHTS,0,2,5,22,16,5,117,11,139
WOODVILLE,2,0,3,11,3,12,14,5,71
WORTHINGTON,0,1,1,12,12,3,12,2,39
