NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,1,0,0,5,4,0,16
BEAUFONT,0,0,0,10,4,6,12,9,46
BELLE AND MAYO ISLANDS,0,0,0,6,0,3,5,0,38
BELLEMEADE,2,1,9,109,28,47,90,47,375
BELLEVUE,0,1,0,5,5,5,31,8,54
BELMONT WOODS,0,0,1,6,0,0,2,3,10
BELT CENTER,2,4,4,41,4,27,171,37,288
BIOTECH AND MCV DISTRICT,0,0,0,7,3,3,15,0,89
BLACKWELL,0,3,8,69,10,27,91,18,224
BRAUERS,0,0,3,11,7,19,22,5,73
BRITISH CAMP FARMS,2,3,5,50,8,13,53,6,155
BROAD ROCK,3,4,10,66,15,48,74,17,266
BROAD ROCK INDUSTRIAL PARK,0,0,0,3,1,0,11,2,39
BROAD ROCK SPORTS COMPLEX,0,0,1,3,0,4,3,0,13
BROOKBURY,0,0,0,4,1,3,13,2,20
BROOKHAVEN FARMS,0,2,0,7,2,0,6,2,30
BROOKLAND PARK,1,0,6,38,14,19,36,14,177
BRYAN PARK,0,0,0,1,0,0,1,0,10
BYRD PARK,0,0,0,8,7,4,33,3,73
CAPITOL DISTRICT,0,1,1,20,1,2,17,6,191
CARILLON,0,0,0,2,0,1,19,2,26
CARVER,1,3,3,30,12,14,108,11,282
CARYTOWN,0,0,5,23,16,3,92,7,231
CEDARHURST,0,0,1,27,17,4,40,22,93
CENTRAL OFFICE,0,1,0,7,1,0,22,2,101
CHAMBERLAYNE INDUSTRIAL CENTER,0,0,4,28,8,50,49,7,209
CHERRY GARDENS,0,0,1,4,1,1,6,1,15
CHIMBORAZO,0,0,2,13,4,4,44,17,81
CHIPPENHAM FOREST,1,5,2,56,0,15,113,7,142
CHURCH HILL,0,0,5,17,8,12,78,14,132
CHURCH HILL NORTH,2,5,4,67,11,24,86,28,257
CITY CENTER,1,6,3,55,4,14,107,14,249
COFER,0,0,0,19,10,10,29,9,73
COLONIAL PLACE,0,0,0,3,4,1,19,6,39
COMMERCE ROAD INDUSTRIAL AREA,0,0,1,5,1,11,28,5,58
COTTRELL FARMS,0,1,2,10,2,3,26,5,69
COUNTRY CLUB OF VIRGINIA,0,0,0,0,0,1,2,2,4
CREIGHTON,2,2,9,85,40,43,36,18,271
CULLENWOOD,0,0,0,7,2,0,8,1,11
DAVEE GARDENS,0,0,0,15,2,5,6,6,31
DEERBOURNE,0,1,0,9,3,2,21,2,47
EASTVIEW,2,0,3,14,3,7,25,6,67
EDGEWOOD,0,1,1,11,2,13,16,6,61
ELKHARDT,0,1,2,33,4,1,49,12,110
FAIRFIELD,0,0,4,84,10,34,38,11,184
FAIRMOUNT,0,2,9,38,7,33,86,13,202
FAWNBROOK,0,0,1,3,1,2,4,1,21
FOREST HILL,0,1,0,5,2,3,32,3,45
FOREST HILL PARK,0,0,0,0,0,1,2,0,7
FOREST HILL TERRACE,0,0,1,3,6,4,24,5,48
FOREST VIEW,0,1,1,19,3,3,24,7,57
FULTON,2,2,13,83,63,36,158,61,398
GAMBLES HILL,0,0,0,5,0,12,36,2,48
GILPIN,1,4,8,150,17,157,56,19,598
GINTER PARK,0,5,4,94,24,58,99,14,418
GINTER PARK TERRACE,0,0,0,5,0,1,9,1,20
GRAVEL HILL,0,0,0,8,4,2,55,3,69
GREEN PARK,0,0,1,8,6,8,21,8,68
HICKORY HILL,0,0,1,22,14,6,17,5,70
HIGHLAND PARK SOUTHERN TIP,0,5,2,79,9,39,74,9,216
HIGHLAND TERRACE,2,0,2,22,2,33,15,3,94
HILLSIDE COURT,2,4,0,65,7,33,23,9,190
HIOAKS,1,2,4,39,2,15,52,13,194
HOLLYWOOD CEMETERY,0,0,0,3,0,1,3,0,6
HUGUENOT,0,0,0,5,3,1,22,2,56
JACKSON WARD,0,4,6,44,17,27,174,18,344
JAHNKE,0,3,8,51,19,9,111,28,213
JEFF DAVIS,2,9,26,140,39,102,240,20,669
JOHN MARSHALL,0,1,0,52,1,18,32,3,119
LABURNUM PARK,0,0,0,0,1,0,9,1,6
MAGNOLIA INDUSTRIAL CENTER,0,0,0,1,2,7,0,0,29
MALVERN GARDENS,0,1,0,1,1,0,21,5,25
MANCHESTER,0,1,3,28,5,7,91,16,161
MARY MUNFORD,0,1,0,2,1,0,17,1,17
MAURY,0,0,0,3,2,9,11,2,42
MAYMONT,0,0,0,11,1,3,19,6,37
MAYMONT PARK,0,0,0,0,0,0,14,1,5
MCGUIRE,1,4,6,43,13,8,58,11,186
MCGUIRE MANOR,0,3,8,22,4,11,15,6,157
MCGUIRE VETERANS HOSPITAL,0,0,0,9,3,2,7,7,30
MIDLOTHIAN,0,4,13,96,15,104,119,30,584
MONROE WARD,0,3,6,63,7,53,140,12,438
MONUMENT AVENUE PARK,0,0,3,5,2,0,23,5,71
MOSBY,4,1,9,110,14,44,37,11,327
MUSEUMS,0,0,0,11,1,3,22,3,94
NEWTOWNE WEST,0,1,3,11,2,5,18,2,87
NORTH HIGHLAND PARK,0,2,6,53,12,44,59,10,255
NORTHERN BARTON HEIGHTS,0,3,7,63,14,40,92,27,298
NORTHROP,1,1,4,65,18,17,38,12,148
OAK GROVE,4,2,7,48,24,70,84,22,308
OAKWOOD,0,1,5,18,8,5,35,15,93
OAKWOOD CEMETERY,0,0,0,0,0,1,1,0,12
OLD TOWN MANCHESTER,0,3,0,39,5,21,109,28,245
OREGON HILL,0,0,0,9,6,0,24,7,92
OXFORD,0,0,0,8,0,1,22,6,86
PARNELL INDUSTRIAL AREA,0,0,0,2,1,0,6,3,14
PETER PAUL,1,0,3,32,5,4,25,8,168
PINE CAMP,0,0,2,2,0,0,2,1,7
PINEY KNOLLS,0,1,7,58,12,12,41,13,191
POCOSHOCK,0,1,2,3,0,0,2,1,13
POWHITE PARK,0,1,0,0,0,1,0,0,6
PROVIDENCE PARK,1,0,3,25,4,28,32,7,104
RANDOLPH,1,5,3,31,21,6,55,17,187
REEDY CREEK,0,0,2,18,5,11,43,4,81
ROSEDALE,0,0,0,4,3,1,17,1,52
SAUER'S GARDENS,0,0,0,21,2,12,19,12,85
SCOTT'S ADDITION,1,2,1,18,2,8,67,4,154
SHERWOOD PARK,0,0,0,5,2,4,9,1,26
SHOCKOE BOTTOM,0,6,7,72,6,30,221,29,440
SHOCKOE SLIP,0,4,0,38,4,4,38,8,190
SOUTH GARDEN,0,2,1,47,12,7,48,15,154
SOUTHAMPTON,0,0,0,4,4,1,13,1,26
SOUTHERN BARTON HEIGHTS,0,2,2,17,10,8,19,3,77
SOUTHWOOD,0,9,26,98,16,23,55,25,244
STADIUM,1,0,0,1,0,0,3,1,11
STONEWALL COURT,0,0,0,1,0,0,8,1,11
STONY POINT,0,0,0,0,1,1,25,1,65
STRATFORD HILLS,0,1,0,5,9,2,40,5,87
SWANSBORO,0,1,5,83,17,39,172,18,350
SWANSBORO WEST,4,4,7,96,30,30,111,16,302
SWANSON,0,0,4,27,10,7,58,6,94
THE DIAMOND,0,1,1,14,1,8,37,9,144
THE FAN,0,12,19,140,70,17,503,71,923
THE MUSEUM DISTRICT,0,4,6,29,17,7,100,24,275
THREE CHOPT,0,0,2,2,1,2,20,4,68
UNION HILL,0,1,5,51,7,33,80,10,231
UNIVERSITY OF RICHMOND,0,0,0,0,0,0,0,0,2
UPPER SHOCKOE VALLEY,0,2,4,19,2,17,24,2,244
VCU,0,1,0,13,4,8,38,3,140
VIRGINIA UNION,0,1,4,32,17,71,60,13,185
WALMSLEY,0,5,2,37,11,7,25,5,110
WARWICK,0,0,0,11,1,1,5,3,29
WASHINGTON PARK,1,2,3,35,5,22,25,9,97
WESTHAMPTON,0,0,1,4,1,2,9,6,41
WESTLAKE HILLS,1,0,0,8,1,2,10,3,34
WESTOVER,3,2,6,49,34,10,49,12,148
WESTOVER HILLS,0,0,1,2,1,0,18,5,38
WESTOVER HILLS WEST,0,0,1,0,0,0,3,0,12
WHITCOMB,4,2,8,128,35,81,38,17,372
