NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
JACKSON WARD,0,2,20,50,26,22,195,22,330
JAHNKE,0,2,2,40,18,12,93,28,176
JEFF DAVIS,2,12,19,143,47,84,234,31,665
JOHN MARSHALL,3,4,1,43,9,7,26,11,114
LABURNUM PARK,0,2,0,0,0,2,13,1,20
MAGNOLIA INDUSTRIAL CENTER,0,0,0,1,0,3,3,0,24
MALVERN GARDENS,0,0,0,2,1,0,17,4,36
MANCHESTER,0,1,4,23,14,10,90,12,144
MARY MUNFORD,0,0,0,1,1,0,16,0,24
MAURY,0,0,1,4,1,3,16,1,31
MAYMONT,0,0,1,12,4,1,29,4,49
MAYMONT PARK,0,0,0,1,0,0,8,0,2
MCGUIRE,0,2,3,32,29,12,32,10,151
MCGUIRE MANOR,0,1,7,34,29,8,32,17,138
MCGUIRE VETERANS HOSPITAL,1,0,1,10,5,2,10,1,29
MIDLOTHIAN,2,10,13,92,24,111,145,30,563
MONROE WARD,1,6,3,62,13,33,183,17,420
MONUMENT AVENUE PARK,0,0,2,5,0,1,14,9,51
MOSBY,3,3,3,107,12,65,37,16,364
MUSEUMS,0,2,0,11,1,2,29,1,88
NEWTOWNE WEST,0,0,2,18,1,4,14,1,85
NORTH HIGHLAND PARK,2,5,6,63,34,23,57,28,243
NORTHERN BARTON HEIGHTS,2,3,11,68,31,46,119,22,317
NORTHROP,0,5,10,76,11,14,50,13,156
OAK GROVE,1,6,9,75,22,48,52,12,248
OAKWOOD,0,1,2,21,4,5,20,10,93
OAKWOOD CEMETERY,0,3,0,0,1,1,1,0,11
OLD TOWN MANCHESTER,1,0,4,38,4,23,108,34,229
OREGON HILL,0,1,2,7,2,7,16,6,74
OXFORD,0,0,0,13,3,3,28,1,94
PARNELL INDUSTRIAL AREA,0,0,0,0,0,3,8,4,20
PETER PAUL,0,1,1,21,8,8,15,7,130
PINE CAMP,0,0,1,0,3,1,1,0,4
PINEY KNOLLS,1,3,12,61,29,11,55,9,184
POCOSHOCK,0,0,0,4,3,1,8,0,19
POWHITE PARK,0,0,0,1,0,2,1,0,7
PROVIDENCE PARK,1,0,3,31,4,22,29,10,127
RANDOLPH,0,4,4,43,16,14,81,12,223
REEDY CREEK,0,0,0,16,7,2,25,5,74
ROSEDALE,0,0,0,5,4,2,15,3,68
SAUER'S GARDENS,0,1,1,11,5,12,35,6,77
SCOTT'S ADDITION,0,1,1,15,12,3,75,4,171
SHERWOOD PARK,0,0,0,6,5,1,15,3,43
SHOCKOE BOTTOM,2,2,6,71,6,12,194,17,389
SHOCKOE SLIP,0,4,0,39,2,6,46,6,197
SOUTH GARDEN,1,5,9,39,30,7,36,10,148
SOUTHAMPTON,1,0,0,4,3,2,7,0,24
SOUTHERN BARTON HEIGHTS,0,0,2,16,11,6,33,6,93
SOUTHWOOD,2,3,34,83,21,12,45,31,232
STADIUM,0,0,0,2,1,0,4,0,24
STONEWALL COURT,0,0,0,1,2,0,7,3,6
STONY POINT,0,0,0,3,0,0,20,1,35
STRATFORD HILLS,0,0,1,6,8,2,44,2,84
SWANSBORO,0,1,5,53,16,31,131,15,283
SWANSBORO WEST,3,5,4,67,20,27,62,11,265
SWANSON,1,9,6,22,7,3,50,11,98
THE DIAMOND,0,1,2,21,4,9,26,11,132
THE FAN,0,7,11,148,92,30,483,63,900
THE MUSEUM DISTRICT,0,4,0,48,24,6,89,18,273
THREE CHOPT,0,0,0,7,8,1,33,3,77
UNION HILL,0,3,6,38,13,49,59,11,246
UNIVERSITY OF RICHMOND,0,0,0,0,0,0,0,0,1
UPPER SHOCKOE VALLEY,0,0,0,20,5,24,21,3,260
VCU,0,0,6,11,3,8,45,5,142
VIRGINIA UNION,0,0,3,52,10,48,57,12,218
WALMSLEY,2,1,5,36,11,11,29,2,82
WARWICK,0,0,1,4,20,1,17,1,43
WASHINGTON PARK,0,2,5,30,10,13,24,7,112
WESTHAMPTON,0,0,0,4,6,1,5,1,46
WESTLAKE HILLS,0,0,2,8,0,0,6,1,30
WESTOVER,0,1,5,41,23,12,48,21,137
WESTOVER HILLS,0,1,0,2,6,3,18,1,40
WESTOVER HILLS WEST,0,0,0,3,1,0,1,0,11
WHITCOMB,4,8,7,94,22,83,55,24,445
WILLOW LAWN,0,0,0,1,2,0,12,1,27
WILLOW OAKS,0,0,0,3,1,0,4,0,10
WILTON,0,0,0,1,0,0,13,1,15
WINDSOR,0,3,8,16,5,1,9,5,48
WINDSOR FARMS,0,0,0,1,3,1,12,2,18
WOODHAVEN,0,0,0,12,8,2,25,6,50
WOODLAND HEIGHTS,0,0,5,23,16,5,137,16,149
WOODVILLE,1,2,7,18,9,17,17,7,85
WORTHINGTON,0,1,3,8,6,0,12,3,25
,0,0,0,0,0,0,1,0,0
