NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,1,0,3,0,5,0,12
BEAUFONT,0,0,1,15,6,3,21,3,59
BELLE AND MAYO ISLANDS,0,1,1,3,0,2,9,0,62
BELLEMEADE,2,3,21,108,31,44,84,28,353
BELLEVUE,0,1,1,2,5,1,42,5,60
BELMONT WOODS,0,0,2,3,1,1,4,0,14
BELT CENTER,0,1,9,44,9,14,139,11,263
BIOTECH AND MCV DISTRICT,0,1,1,6,0,2,14,4,78
BLACKWELL,0,5,5,51,7,19,69,22,290
BRAUERS,0,0,4,7,4,9,14,5,72
BRITISH CAMP FARMS,1,3,7,52,18,10,78,15,154
BROAD ROCK,1,2,4,54,25,20,69,12,202
BROAD ROCK INDUSTRIAL PARK,0,0,0,4,1,5,6,1,26
BROAD ROCK SPORTS COMPLEX,0,1,1,1,0,1,4,0,5
BROOKBURY,0,0,0,1,2,1,9,1,10
BROOKHAVEN FARMS,1,0,3,7,1,0,15,4,47
BROOKLAND PARK,3,1,6,38,26,21,41,25,170
BRYAN PARK,0,0,0,0,1,1,5,0,13
BYRD PARK,0,0,0,19,5,12,40,2,72
CAPITOL DISTRICT,0,0,0,13,4,4,24,6,188
CARILLON,0,0,0,2,5,0,22,2,38
CARVER,0,2,12,21,33,19,124,7,286
CARYTOWN,0,0,4,33,15,1,93,6,237
CEDARHURST,0,1,5,30,13,2,39,7,109
CENTRAL OFFICE,0,1,3,13,0,3,31,3,112
CHAMBERLAYNE INDUSTRIAL CENTER,0,2,6,46,15,22,50,15,211
CHERRY GARDENS,1,0,0,2,0,2,6,1,21
CHIMBORAZO,1,0,2,18,3,5,36,15,71
CHIPPENHAM FOREST,0,3,5,40,6,11,148,12,176
CHURCH HILL,0,0,5,17,10,8,75,26,148
CHURCH HILL NORTH,0,2,5,55,14,28,87,21,255
CITY CENTER,0,1,4,58,3,14,125,10,278
COFER,1,1,2,23,7,3,32,6,63
COLONIAL PLACE,0,0,1,2,2,0,27,3,49
COMMERCE ROAD INDUSTRIAL AREA,0,0,2,6,1,10,24,4,77
COTTRELL FARMS,0,0,0,6,13,2,14,3,48
COUNTRY CLUB OF VIRGINIA,0,0,0,0,0,0,3,0,3
CREIGHTON,1,6,15,87,20,56,36,10,300
CULLENWOOD,0,0,0,7,2,1,5,3,16
DAVEE GARDENS,1,2,0,8,4,3,8,1,30
DEERBOURNE,0,0,0,9,8,1,5,2,41
EASTVIEW,0,0,3,13,4,18,12,12,67
EDGEWOOD,0,0,0,12,13,26,13,6,59
ELKHARDT,1,1,11,20,5,4,58,15,128
FAIRFIELD,0,1,5,70,10,46,18,8,235
FAIRMOUNT,1,1,9,55,12,30,50,8,210
FAWNBROOK,0,0,1,6,4,1,4,2,18
FOREST HILL,0,0,0,5,7,0,43,2,46
FOREST HILL PARK,0,0,0,0,0,1,1,1,7
FOREST HILL TERRACE,0,1,3,8,1,1,36,2,55
FOREST VIEW,1,0,2,13,6,3,24,4,59
FULTON,1,10,11,95,37,12,109,27,365
GAMBLES HILL,0,2,2,2,0,4,36,2,48
GILPIN,3,1,21,134,34,138,63,17,625
GINTER PARK,0,7,10,124,51,70,87,25,457
GINTER PARK TERRACE,0,0,0,2,13,1,14,0,17
GRAVEL HILL,1,0,2,6,2,2,46,2,85
GREEN PARK,0,1,1,11,6,8,17,5,57
HICKORY HILL,1,0,2,23,12,2,17,4,90
HIGHLAND PARK SOUTHERN TIP,0,5,4,62,20,25,64,20,195
HIGHLAND TERRACE,1,0,2,21,11,15,19,7,102
HILLSIDE COURT,0,2,5,81,8,20,19,7,180
HIOAKS,1,2,3,49,4,16,51,9,219
HOLLYWOOD CEMETERY,0,0,0,4,1,2,4,1,14
HUGUENOT,0,2,0,9,8,0,16,2,54
